message number,latency (usec),message size,interval (usec),
0,3738.5,4,100000,
1,2417.5,4,100000,
2,2130,4,100000,
3,2850,4,100000,
4,2575.5,4,100000,
5,2279,4,100000,
6,1998.5,4,100000,
7,2677.5,4,100000,
8,2390,4,100000,
9,2108.5,4,100000,
10,2833,4,100000,
11,2539.5,4,100000,
12,2250,4,100000,
13,2172.5,4,100000,
14,2688.5,4,100000,
15,2438,4,100000,
16,2142,4,100000,
17,2850.5,4,100000,
18,2565.5,4,100000,
19,2308,4,100000,
20,2075,4,100000,
21,2742,4,100000,
22,2445,4,100000,
23,2213,4,100000,
24,2916,4,100000,
25,2678,4,100000,
26,2364,4,100000,
27,2139.5,4,100000,
28,2795,4,100000,
29,2561,4,100000,
30,3235,4,100000,
31,1973.5,4,100000,
32,2701.5,4,100000,
33,2400.5,4,100000,
34,2121,4,100000,
35,2838,4,100000,
36,2558,4,100000,
37,2257,4,100000,
38,2958,4,100000,
39,2694.5,4,100000,
40,2397,4,100000,
41,2113,4,100000,
42,2828,4,100000,
43,2556,4,100000,
44,2262,4,100000,
45,1970,4,100000,
46,3658.5,4,100000,
47,2408,4,100000,
48,2122.5,4,100000,
49,2846.5,4,100000,
50,2560.5,4,100000,
51,2444.5,4,100000,
52,2973,4,100000,
53,2683,4,100000,
54,2416,4,100000,
55,2517.5,4,100000,
56,2839.5,4,100000,
57,2522.5,4,100000,
58,2237.5,4,100000,
59,49098,4,100000,
60,2664.5,4,100000,
61,2595.5,4,100000,
62,19739.5,4,100000,
63,37987.5,4,100000,
64,51145,4,100000,
65,3280,4,100000,
66,21711,4,100000,
67,11471,4,100000,
68,2447.5,4,100000,
69,56210.5,4,100000,
70,7740.5,4,100000,
71,2598,4,100000,
72,17909.5,4,100000,
73,2200,4,100000,
74,27297,4,100000,
75,28825,4,100000,
76,2342.5,4,100000,
77,34609,4,100000,
78,53150,4,100000,
79,3085,4,100000,
80,39144,4,100000,
81,13641.5,4,100000,
82,2674,4,100000,
83,35347,4,100000,
84,2919.5,4,100000,
85,2804,4,100000,
86,2574,4,100000,
87,2274.5,4,100000,
88,2804.5,4,100000,
89,2548.5,4,100000,
90,2256,4,100000,
91,2963.5,4,100000,
92,2661.5,4,100000,
93,2373.5,4,100000,
94,3110,4,100000,
95,2832,4,100000,
96,2551.5,4,100000,
97,40391,4,100000,
98,2996,4,100000,
99,2813.5,4,100000,
100,2807,4,100000,
101,2151.5,4,100000,
102,2825,4,100000,
103,2543.5,4,100000,
104,2325,4,100000,
105,2014.5,4,100000,
106,2698.5,4,100000,
107,2632,4,100000,
108,2150.5,4,100000,
109,2822.5,4,100000,
110,2534.5,4,100000,
111,2307,4,100000,
112,1974.5,4,100000,
113,2723,4,100000,
114,2437.5,4,100000,
115,2160.5,4,100000,
116,2883,4,100000,
117,2580,4,100000,
118,2497,4,100000,
119,1997,4,100000,
120,2721,4,100000,
121,2431,4,100000,
122,2140,4,100000,
123,2866.5,4,100000,
124,2584,4,100000,
125,2452,4,100000,
126,2009,4,100000,
127,2731,4,100000,
128,2432.5,4,100000,
129,3112.5,4,100000,
130,2881.5,4,100000,
131,2572,4,100000,
132,2269.5,4,100000,
133,2056.5,4,100000,
134,2736.5,4,100000,
135,2437.5,4,100000,
136,2226,4,100000,
137,2893,4,100000,
138,2606,4,100000,
139,2320.5,4,100000,
140,2081,4,100000,
141,2755,4,100000,
142,2468.5,4,100000,
143,2221,4,100000,
144,2901,4,100000,
145,2669.5,4,100000,
146,2324,4,100000,
147,2082.5,4,100000,
148,2756.5,4,100000,
149,2525.5,4,100000,
150,2241.5,4,100000,
151,1945.5,4,100000,
152,2659,4,100000,
153,2532.5,4,100000,
154,2088,4,100000,
155,2800.5,4,100000,
156,2524.5,4,100000,
157,2214.5,4,100000,
158,1926,4,100000,
159,2662,4,100000,
160,2368.5,4,100000,
161,2085,4,100000,
162,2654,4,100000,
163,2690,4,100000,
164,2210.5,4,100000,
165,2165,4,100000,
166,2667.5,4,100000,
167,2375.5,4,100000,
168,2089,4,100000,
169,2813.5,4,100000,
170,2531.5,4,100000,
171,2240.5,4,100000,
172,2860,4,100000,
173,2666,4,100000,
174,2393,4,100000,
175,2104,4,100000,
176,2834.5,4,100000,
177,2528.5,4,100000,
